number_of_elements,A_uniform,B_uniform,C_uniform,A_binomial,B_binomial,C_binomial
100,327,324,428,274,247,255
110,184,181,189,272,245,253
120,187,187,197,274,244,253
130,193,193,202,273,250,250
140,197,197,206,275,249,261
150,206,205,213,273,249,256
160,207,208,242,274,299,309
170,340,327,340,275,246,267
180,330,337,325,282,267,252
190,227,224,234,273,248,258
200,264,278,237,273,269,271
210,239,238,244,272,243,268
220,274,245,254,264,250,257
230,256,245,256,274,275,280
240,253,252,260,273,258,260
250,259,259,270,273,279,287
260,269,265,271,272,292,255
270,275,271,276,263,244,255
280,416,277,281,273,266,265
290,281,299,291,274,273,283
300,289,282,291,275,252,259
310,292,294,299,275,255,263
320,298,294,308,273,295,300
330,300,296,364,275,250,250
340,305,307,316,276,259,260
350,318,311,321,281,253,254
360,319,319,327,268,275,274
370,328,324,332,274,246,257
380,318,329,339,273,257,303
390,394,337,339,273,276,282
400,506,494,525,271,284,294
410,521,595,508,279,330,346
420,589,592,655,529,872,450
430,478,360,375,266,253,255
440,360,370,438,272,332,337
450,370,367,377,275,285,293
460,365,371,381,273,245,252
470,388,400,430,273,294,303
480,603,412,653,273,410,573
490,394,389,403,377,313,328
500,667,633,656,291,510,920
510,656,654,742,277,475,1152
520,718,937,648,279,334,333
530,425,405,415,274,250,254
540,419,423,423,271,294,294
550,417,423,427,271,299,298
560,434,606,649,341,419,384
570,697,583,616,272,451,433
580,442,434,456,274,426,432
590,452,443,450,274,281,286
600,449,448,449,274,322,331
610,451,469,458,268,309,328
620,460,532,723,274,273,279
630,493,487,701,273,252,252
640,470,469,478,274,261,275
650,477,493,484,273,432,438
660,524,475,489,272,261,263
670,483,486,614,267,248,260
680,487,498,493,320,303,285
690,558,499,539,275,608,505
700,652,550,502,272,307,306
710,518,502,509,272,387,395
720,520,526,515,274,482,489
730,884,518,531,271,279,275
740,528,618,548,273,251,260
750,540,536,564,273,426,472
760,692,547,549,273,296,306
770,547,552,566,275,375,378
780,552,544,591,347,350,345
790,682,604,592,272,257,262
800,638,814,1062,344,415,381
810,560,559,571,273,336,344
820,574,573,573,274,285,292
830,578,571,587,274,627,599
840,593,784,601,274,279,285
850,597,708,795,273,630,603
860,615,587,586,274,250,258
870,607,606,632,273,246,252
880,611,606,609,280,512,500
890,616,636,616,273,253,261
900,616,621,631,277,288,263
910,665,645,679,275,282,289
920,628,606,612,274,423,426
930,635,640,632,275,245,261
940,642,636,662,263,358,367
950,649,652,661,273,570,591
960,795,681,645,273,298,306
970,792,682,652,273,449,463
980,651,655,669,273,284,290
990,666,659,670,274,590,595
1000,673,673,687,274,571,930
1010,954,1194,776,276,907,731
1020,677,736,928,280,341,351
1030,698,884,786,274,411,419
1040,699,687,681,274,412,386
1050,1142,1421,1360,280,510,592
1060,1165,1210,1264,277,387,385
1070,1250,1185,1175,276,333,378
1080,986,1168,1011,274,287,300
1090,1304,910,1317,274,300,306
1100,740,842,1249,264,316,318
1110,1170,1120,1395,275,253,263
1120,998,815,761,273,262,295
1130,1117,1004,1196,274,271,277
1140,759,741,756,272,294,321
1150,964,1122,1035,279,870,888
1160,1198,904,756,268,871,878
1170,758,750,771,273,803,792
1180,746,769,782,274,317,323
1190,767,766,794,274,857,1031
1200,1118,943,792,273,254,259
1210,863,897,792,272,781,766
1220,788,779,796,324,782,660
1230,828,805,856,275,885,880
1240,803,800,798,278,421,426
1250,812,927,811,273,898,905
1260,825,812,827,275,409,419
1270,829,933,1761,349,293,282
1280,908,1150,886,261,338,343
1290,837,813,846,273,469,475
1300,1066,895,848,273,290,292
1310,861,831,863,287,1434,1273
1320,834,843,1074,273,290,294
1330,851,834,879,271,1047,984
1340,865,840,857,273,246,254
1350,1195,1603,872,274,305,315
1360,882,1238,913,275,274,275
1370,1026,874,1186,274,609,612
1380,869,871,875,273,844,1907
1390,947,1243,959,274,265,267
1400,899,892,898,273,445,452
1410,901,885,887,275,979,1011
1420,896,1164,1108,275,1596,1295
1430,913,900,907,278,1247,1189
1440,923,910,891,273,260,264
1450,964,932,1273,344,983,780
1460,937,918,930,272,268,269
1470,940,918,939,274,371,378
1480,934,915,1024,274,460,444
1490,921,1165,955,274,757,682
1500,931,930,973,294,973,802
1510,957,971,954,272,246,254
1520,973,935,937,274,594,575
1530,1066,1142,998,273,963,971
1540,989,978,973,263,247,245
1550,991,1211,1103,274,654,659
1560,984,1696,1658,273,299,301
1570,983,1068,977,276,1159,1164
1580,941,991,983,273,778,786
1590,987,1198,1335,344,707,633
1600,995,985,987,271,258,266
1610,999,993,1126,273,350,341
1620,1008,995,1023,273,398,404
1630,1685,1387,1160,274,400,457
1640,1020,1016,998,272,255,261
1650,1050,1030,1051,273,598,602
1660,1010,1109,1515,267,248,275
1670,1370,1092,1060,274,563,570
1680,1040,1074,1187,264,1295,1297
1690,1069,1045,1200,314,453,400
1700,1496,1100,1067,275,1578,1583
1710,1036,1059,1066,273,565,575
1720,1129,1072,1623,344,1100,866
1730,1062,1061,1094,273,349,358
1740,1170,1112,1105,274,1345,1348
1750,1092,1555,1821,290,1602,1484
1760,2090,1952,2033,277,2962,2694
1770,1976,1997,2039,282,2217,2213
1780,1907,2138,2959,285,1376,1685
1790,1234,1121,1120,274,1704,1371
1800,1096,1085,2101,343,795,883
1810,1135,1395,1612,299,274,283
1820,1405,1143,1106,274,1653,1928
1830,2344,1594,1291,272,575,564
1840,1172,1132,1304,274,1618,1615
1850,1136,1140,1830,275,3023,1766
1860,1127,1151,1137,274,555,562
1870,1145,1203,1226,266,561,713
1880,1287,1857,1433,275,1274,1265
1890,1448,1139,1158,274,1158,1162
1900,1495,2463,1921,285,766,547
