number_of_elements,average_bin,average_lin,worst_possible_bin,worst_possible_lin
100,8,16,3,14
110,7,16,3,15
120,12,16,3,16
130,7,18,3,25
140,7,18,3,18
150,7,18,3,19
160,8,18,3,20
170,7,20,3,21
180,7,20,3,22
190,7,21,3,23
200,8,21,3,24
210,8,21,3,25
220,7,22,3,26
230,8,22,3,27
240,8,23,3,28
250,8,23,3,29
260,8,24,4,30
270,8,23,4,31
280,8,26,4,33
290,8,27,4,34
300,8,26,4,35
310,8,25,4,36
320,8,27,4,37
330,8,28,4,38
340,8,27,4,39
350,9,30,4,40
360,9,27,4,41
370,8,30,4,42
380,9,31,4,43
390,9,31,4,44
400,9,29,4,45
410,8,31,4,46
420,8,34,4,47
430,9,35,4,48
440,9,32,4,49
450,8,34,4,50
460,9,32,4,51
470,9,35,4,52
480,9,35,4,53
490,9,37,4,54
500,9,40,4,55
510,9,37,4,56
520,9,39,4,57
530,9,36,4,58
540,9,38,4,59
550,9,42,4,61
560,9,43,4,62
570,9,40,4,63
580,9,43,4,64
590,9,45,4,65
600,9,39,4,65
610,9,40,4,67
620,9,42,4,68
630,9,45,4,69
640,9,43,4,70
650,9,44,4,71
660,9,45,4,72
670,9,46,4,73
680,9,45,4,74
690,9,48,4,75
700,9,46,4,76
710,9,44,4,77
720,9,46,4,78
730,9,50,4,79
740,9,48,4,80
750,9,50,4,81
760,9,51,4,82
770,9,49,4,83
780,10,48,4,85
790,10,52,4,86
800,9,52,4,87
810,9,53,4,88
820,10,54,4,89
830,9,48,4,90
840,10,49,4,91
850,10,55,4,92
860,10,54,4,93
870,9,53,4,94
880,9,54,4,95
890,9,51,4,96
900,9,55,4,106
910,9,60,4,98
920,9,55,4,99
930,9,60,4,100
940,9,62,4,101
950,9,57,4,102
960,9,61,4,103
970,9,63,4,104
980,10,61,4,105
990,10,61,4,106
1000,10,65,4,107
1010,10,66,4,108
1020,10,63,4,109
1030,10,65,5,110
1040,10,69,5,111
1050,10,61,5,112
1060,9,64,5,113
1070,10,72,5,115
1080,9,63,5,116
1090,9,70,5,117
1100,9,61,5,118
1110,10,73,5,119
1120,10,69,5,120
1130,10,74,5,121
1140,10,65,5,121
1150,9,70,5,122
1160,10,71,5,124
1170,9,108,4,121
1180,9,60,4,122
1190,9,69,4,123
1200,9,70,4,124
1210,9,69,4,144
1220,9,69,4,114
1230,8,67,4,115
1240,8,65,4,115
1250,9,64,4,116
1260,9,70,4,114
1270,8,66,4,112
1280,8,67,4,112
1290,8,60,4,113
1300,8,68,4,114
1310,8,60,4,115
1320,8,69,4,116
1330,8,57,4,117
1340,8,67,4,118
1350,8,64,4,118
1360,8,68,4,119
1370,8,69,4,120
1380,8,65,4,121
1390,8,70,4,122
1400,8,71,4,123
1410,8,69,4,124
1420,8,79,4,125
1430,8,75,4,125
1440,8,78,4,126
1450,8,70,4,127
1460,8,68,4,128
