number_of_elements,quad_sum,lin_sum
100,1096,35
110,759,32
120,972,36
130,1013,45
140,1113,51
150,1625,48
160,1681,36
170,1867,38
180,1881,48
190,1969,50
200,2368,53
210,2351,31
220,2568,37
230,2833,38
240,2173,37
250,2595,37
260,2313,39
270,3329,42
280,2849,50
290,4526,47
300,3316,58
310,4055,47
320,4162,47
330,5408,53
340,4506,121
350,5141,64
360,6012,60
370,6049,54
380,7321,58
390,6421,119
400,11006,80
410,7607,66
420,6737,58
430,9708,65
440,9129,69
450,8806,66
460,8732,67
470,11098,73
480,7390,71
490,7953,73
500,12187,129
510,11449,85
520,13197,80
530,12387,79
540,13619,86
550,12397,79
560,13444,86
570,16714,91
580,19497,84
590,18337,138
600,15216,175
610,17793,93
620,15155,97
630,17447,96
640,20629,103
650,21719,130
660,16625,102
670,17225,91
680,21194,94
690,25460,111
700,17260,101
710,18923,112
720,25855,166
730,25395,172
740,26271,106
750,31491,198
760,27125,120
770,26877,113
780,26000,114
790,24583,110
800,33423,117
810,26884,196
820,27667,106
830,28242,121
840,31290,126
850,26200,131
860,31280,136
870,32345,121
880,51333,135
890,26672,125
900,31347,117
910,29146,202
920,43868,268
930,33516,140
940,39564,198
950,29036,141
960,32649,143
970,41559,216
980,39672,141
990,44794,136
1000,46603,143
1010,50654,153
1020,46859,150
1030,43075,212
1040,43359,154
1050,43919,195
1060,46158,152
1070,44333,168
1080,41689,196
1090,55043,160
1100,57852,166
1110,60022,177
1120,46284,175
1130,43026,172
1140,51394,172
1150,51981,148
1160,61499,168
1170,48146,166
1180,46919,178
1190,56221,187
1200,58146,192
1210,57460,183
1220,66847,183
1230,65512,183
1240,60391,205
1250,66506,177
1260,80123,164
1270,62104,287
1280,61115,176
1290,52105,203
1300,77826,200
1310,64833,186
1320,72348,183
1330,68461,191
1340,64331,194
1350,63550,212
1360,86257,195
1370,75698,231
1380,80080,191
1390,89521,232
1400,85414,190
1410,78548,210
1420,72503,209
1430,85415,198
1440,82643,223
1450,99887,204
1460,96021,220
1470,85605,272
1480,77728,200
1490,87039,206
1500,80829,220
1510,108055,233
1520,98082,226
1530,110230,212
1540,115081,223
1550,85947,250
1560,90486,210
1570,109304,231
1580,130012,227
1590,116744,256
1600,100029,241
1610,95439,244
1620,98571,215
1630,113551,246
1640,101792,266
1650,149449,234
1660,121165,260
1670,116682,253
1680,117718,223
1690,133949,245
1700,107830,259
1710,111015,266
1720,114010,258
1730,111207,227
1740,105579,269
1750,146500,248
1760,136388,258
1770,125422,239
1780,141218,240
1790,113159,297
1800,150788,281
1810,124537,280
1820,158296,280
1830,147097,301
1840,140222,272
1850,129121,272
1860,129128,237
1870,108387,285
1880,183315,255
1890,163325,239
1900,122497,265
1910,161818,278
1920,190791,285
1930,108329,294
1940,154943,287
1950,167273,292
1960,137041,303
1970,161755,290
1980,183037,341
1990,165877,304
2000,172567,293
2010,121957,286
2020,196298,297
2030,175181,285
2040,152615,317
2050,134699,273
2060,185347,310
2070,202331,319
2080,189708,306
2090,170251,314
2100,198128,297
2110,173892,322
2120,207312,499
2130,147350,296
2140,202278,335
2150,212797,295
2160,180728,334
2170,170887,309
2180,198026,310
2190,205493,346
2200,199220,310
2210,203661,291
2220,238662,369
2230,172973,335
2240,202625,290
2250,180230,350
2260,213428,302
2270,210182,330
2280,225163,291
2290,241744,361
2300,213253,335
2310,240266,326
2320,204098,324
2330,234159,368
2340,204795,402
2350,240033,355
2360,216093,384
2370,237857,340
2380,230825,343
2390,263460,368
2400,209464,360
2410,217458,374
2420,284336,390
2430,251287,381
2440,275777,510
2450,213916,356
2460,281705,346
2470,227273,334
2480,283722,351
2490,222691,370
2500,324702,350
